,pl_name,pl_rade,pl_eqt,pl_orbsmax,st_teff,st_lum,T_ast,Seff_rg,Seff_mxg,d_rg,d_mxg
126,HAT-P-43 b,14.15623333,1348.33,0.04435,5661.0,0.045,-119.0,1.0238967947234365,0.3436388379063837,1.0408110833390467,1.796589590974338
127,HAT-P-44 b,14.6452,1067.5,0.0507,5205.08,-0.194,-574.9200000000001,0.9729771861028254,0.3175141008796449,0.8108652172142916,1.4194447452732195
128,HAT-P-45 b,16.44611657,1552.3,0.0452,5957.5,0.4,177.5,1.0610253362388125,0.36131040754777816,1.5386403689172632,2.6366942020270314
129,HAT-P-46 b,13.89272013,1509.81,0.0577,6853.5,0.391,1073.5,1.1772838776093204,0.41217423472221154,1.4456374878851614,2.443203151259166
130,HAT-P-49 b,16.64405,2199.0,0.0438,6887.5,0.814,1107.5,1.18136742549315,0.4138675500104586,2.3485916050492763,3.967978514741682
131,HAT-P-5 b,14.0109981,1477.8,0.04075,5896.5,0.1875,116.5,1.05319716373351,0.3576586638369807,1.2091917057946922,2.0749881704039748
132,HAT-P-50 b,14.38006586,1795.13,0.0453,6280.0,0.60314,500.0,1.1033692437499998,0.38049849687500004,1.906380394670807,3.246336444050863
133,HAT-P-51 b,13.8992455,1143.95,0.050555,5442.63,-0.08419,-337.3699999999999,0.9984107808799751,0.3308990196047528,0.9083440360132291,1.5778192844125936
134,HAT-P-52 b,11.0102905,1150.0,0.03694,5081.54,-0.30452,-698.46,0.9608128706579081,0.31080281645475466,0.7184897783114351,1.263273910819639
135,HAT-P-53 b,13.99209172,1669.05,0.03159,5991.0,0.21748,211.0,1.0653575119964274,0.3633160737413805,1.2444925862421736,2.131069894548178
136,HAT-P-54 b,11.92417915,800.32,0.04117,4261.7,-0.9017,-1518.3000000000002,0.9004801510024703,0.2718551426262837,0.373175332009846,0.6791742683297791
137,HAT-P-55 b,14.21097043,1304.51,0.04616,5821.33,0.09656,41.32999999999993,1.0436724804693662,0.35316499885735836,1.093951036042962,1.880577225369934
138,HAT-P-56 b,16.5941714,1772.67,0.0423,6600.95,,820.9499999999998,1.1455859675367035,0.39883761944560775,,
139,HAT-P-57 b,16.46221546,2021.5,0.0406,7174.0,0.80618,1394.0,1.213237884356417,0.4268951977072246,2.2967674172217656,3.8719466557161057
140,HAT-P-58 b,14.94242059,1506.79,0.04994,5878.5,0.45637,98.5,1.0509034683645355,0.3565817211124042,1.6496947310570023,2.832079638223169
141,HAT-P-59 b,12.78447427,1230.39,0.05064,5548.15,0.05385,-231.85000000000036,1.010496312241615,0.3370126089948507,1.0584190149644428,1.8327445007771233
142,HAT-P-6 b,15.31530833,1661.0,0.052405,6677.8,0.555,897.8000000000002,1.1554453548764552,0.4030232280466854,1.7624844520972225,2.98424834297947
143,HAT-P-60 b,18.31232376,1673.0,0.06277,6272.5,0.80889,492.5,1.1023749991452547,0.38005778469282736,2.417020435795314,4.116424778237322
144,HAT-P-61 b,10.72505879,1462.16,0.0301,5525.6,-0.1152,-254.39999999999964,1.0078759796669143,0.3356987978167702,0.8723614235698599,1.5115590123328078
145,HAT-P-62 b,12.40380102,1467.77,0.03772,5612.5,0.09061,-167.5,1.018080657277399,0.34078127536986647,1.1000537525715908,1.9013721923144284
146,HAT-P-63 b,13.08339156,1177.94,0.04294,5240.0,-0.1463,-540.0,0.976551721094384,0.31944420929291995,0.8550713891802573,1.4950388902572893
147,HAT-P-64 b,18.62514707,1715.0,0.05387,6329.5,0.66839,549.5,1.1099314334116677,0.3833965098745663,2.04902343052854,3.4863495022913464
148,HAT-P-65 b,19.03234928,1825.86,0.039965,5874.33,0.51393,94.32999999999993,1.050373217792654,0.35633229480922296,1.7631659091741188,3.0271741602257562
149,HAT-P-66 b,16.736055,1872.0,0.04363,6051.56,0.6149,271.5600000000004,1.0732406604812217,0.36693918874328,1.9593022674001006,3.350834295598823
150,HAT-P-67 b,22.9965325,1886.0,0.06505,6411.5,0.93852,631.5,1.1207856538038576,0.38815021758001667,2.782907161213175,4.728899485528595
151,HAT-P-68 b,12.86096744,995.72,0.02996,4364.77,-0.77911,-1415.2299999999996,0.9061006361300536,0.27616668494481544,0.4284072208962335,0.7759957748442455
152,HAT-P-69 b,18.398742,1931.5,0.06555,7531.3,1.0,1751.3000000000002,1.243978028435874,0.439133454032772,2.835264923994983,4.77201431866542
153,HAT-P-7 b,16.9630475,2288.7,0.0376566667,6395.95,0.8142,615.9499999999998,1.1187302985778138,0.3872537630878076,2.414000189647446,4.1030062325937555
154,HAT-P-70 b,20.573015,2475.0,0.04739,8590.0,1.22272,2810.0,1.225318539333269,0.43223897641940756,3.691777322482947,6.215814381536841
155,HAT-P-8 b,15.28193734,1668.5,0.0463,6300.9,0.519,520.8999999999996,1.1061400998446025,0.38172443571951153,1.7282037042121605,2.9418804425756546
156,HAT-P-9 b,15.65546425,1494.75,0.0529233333,6310.75,0.41415,530.75,1.1074459681065507,0.382301051630871,1.530783339353593,2.6053870709746714
157,HATS-1 b,13.56695262,1279.47,0.0444,5870.0,0.04139,90.0,1.0498230767598289,0.35607332737380754,1.0236157096905343,1.7576211848263479
158,HATS-10 b,11.70228982,1389.39,0.04491,5894.5,0.117,114.5,1.052941925667972,0.3575389829692913,1.1150588544519837,1.9135433256084404
159,HATS-11 b,17.20052543,1558.97,0.04842,6164.67,0.40312,384.6700000000001,1.0881037507119773,0.37368262506797983,1.5248420026083878,2.602007520325751
160,HATS-12 b,11.446075,1771.5,0.046025,6382.5,0.86332,602.5,1.1169511475260012,0.38647639381029225,2.5564830091816177,4.346087982296556
