pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,pl_orbsmax,st_teff,st_lum
"HAT-P-65 b","Transit","HATNet",19.03234928,1825.86,0.0399650000,5874.33,0.51393
"HAT-P-66 b","Transit","HATNet",16.73605500,1872.00,0.0436300000,6051.56,0.61490
"HAT-P-67 b","Transit","HATNet",22.99653250,1886.00,0.0650500000,6411.50,0.93852
"HAT-P-68 b","Transit","HATNet",12.86096744,995.72,0.0299600000,4364.77,-0.77911
"HAT-P-69 b","Transit","HATNet",18.39874200,1931.50,0.0655500000,7531.30,1.00000
"HAT-P-7 b","Transit","HATNet",16.96304750,2288.70,0.0376566667,6395.95,0.81420
"HAT-P-70 b","Transit","HATNet",20.57301500,2475.00,0.0473900000,8590.00,1.22272
"HAT-P-8 b","Transit","HATNet",15.28193734,1668.50,0.0463000000,6300.90,0.51900
"HAT-P-9 b","Transit","HATNet",15.65546425,1494.75,0.0529233333,6310.75,0.41415
"HATS-1 b","Transit","HATSouth",13.56695262,1279.47,0.0444000000,5870.00,0.04139
"HATS-10 b","Transit","HATSouth",11.70228982,1389.39,0.0449100000,5894.50,0.11700
"HATS-11 b","Transit","HATSouth",17.20052543,1558.97,0.0484200000,6164.67,0.40312
"HATS-12 b","Transit","HATSouth",11.44607500,1771.50,0.0460250000,6382.50,0.86332
"HATS-13 b","Transit","HATSouth",12.98284421,1159.66,0.0405700000,5523.00,
"HATS-14 b","Transit","HATSouth",11.96644494,1242.79,0.0381500000,5346.00,
"HATS-15 b","Transit","HATSouth",16.60447595,1626.00,0.0271200000,5216.50,-0.20412
"HATS-16 b","Transit","HATSouth",14.30968011,1512.18,0.0374400000,5738.00,0.17319
"HATS-17 b","Transit","HATSouth",9.19557650,800.50,0.1308000000,5846.00,0.09342
"HATS-18 b","Transit","Multiple Observatories",15.28477068,2012.83,0.0175050000,5600.00,-0.03152
"HATS-2 b","Transit","HATSouth",12.96404670,1514.33,0.0230850000,5227.00,-0.26800
"HATS-22 b","Transit","HATSouth",11.38598875,843.20,0.0502500000,4803.00,-0.64589
"HATS-23 b","Transit","HATSouth",20.84874000,1654.00,0.0339700000,5780.00,0.15534
"HATS-24 b","Transit","HATSouth",16.06226726,2024.22,0.0246350000,6272.33,0.24113
"HATS-25 b","Transit","HATSouth",14.20630044,1227.43,0.0516300000,5715.00,0.06819
"HATS-26 b","Transit","HATSouth",18.71187062,1835.97,0.0473500000,6071.00,0.70415
"HATS-27 b","Transit","HATSouth",16.05902325,1601.42,0.0611000000,6438.00,0.66932
"HATS-28 b","Transit","HATSouth",13.38354600,1253.00,0.0413100000,5498.00,-0.15739
"HATS-29 b","Transit","HATSouth",13.74222241,1221.00,0.0547500000,5719.50,0.02938
"HATS-3 b","Transit","HATSouth",15.03092050,1576.43,0.0485000000,6351.00,0.45600
"HATS-30 b","Transit","HATSouth",14.04390029,1367.33,0.0435400000,5943.00,0.09691
"HATS-31 b","Transit","HATSouth",16.35771756,1720.46,0.0478000000,6081.50,0.61909
"HATS-32 b","Transit","HATSouth",13.03292081,1353.45,0.0402400000,5700.00,0.05690
"HATS-33 b","Transit","HATSouth",13.35209941,1383.43,0.0372700000,5659.00,-0.01773
"HATS-34 b","Transit","HATSouth",14.55787102,1376.52,0.0316600000,5380.00,-0.14026
"HATS-35 b","Transit","HATSouth",16.03463800,1997.50,0.0319900000,6227.50,0.46538
"HATS-36 b","Transit","HATSouth",13.49084133,1248.18,0.0532750000,5986.00,0.21484
"HATS-37 A b","Transit","HATSouth",6.79265400,1085.00,0.0491300000,5326.00,-0.25571
"HATS-38 b","Transit","HATSouth",6.67305126,1224.11,0.0503600000,5704.50,0.07151
"HATS-39 b","Transit","HATSouth",18.37762614,1622.28,0.0600700000,6629.50,0.64048
"HATS-4 b","Transit","HATSouth",12.17065739,1277.53,0.0362000000,5403.00,-0.18700
"HATS-40 b","Transit","HATSouth",16.40023431,2006.87,0.0499700000,6510.50,0.90309
"HATS-41 b","Transit","HATSouth",13.22527012,1620.78,0.0583000000,6414.50,0.65321
"HATS-42 b","Transit","HATSouth",14.47115708,1739.18,0.0368900000,6134.00,0.42488
"HATS-43 b","Transit","HATSouth",13.56303617,976.34,0.0494400000,5137.00,-0.39794
"HATS-44 b","Transit","HATSouth",11.94462091,1114.04,0.0364900000,4970.00,-0.39794
"HATS-45 b","Transit","HATSouth",14.15750544,1439.60,0.0551100000,6562.50,0.42488
"HATS-46 b","Transit","HATSouth",10.33615962,1012.32,0.0536700000,5436.00,-0.22988
"HATS-47 b","Transit","HATSouth",12.92866174,820.50,0.0426900000,4478.00,-0.79615
"HATS-48 A b","Transit","HATSouth",9.23335956,922.58,0.0376900000,4448.50,-0.70885
"HATS-49 b","Transit","HATSouth",8.60171272,810.76,0.0451500000,4326.00,-0.78489
"HATS-5 b","Transit","HATSouth",10.22134165,981.69,0.0542000000,5281.00,-0.26800
"HATS-50 b","Transit","HATSouth",13.60620730,1275.39,,5770.00,
"HATS-51 b","Transit","HATSouth",14.40786402,1441.67,0.0463900000,5734.50,0.30963
"HATS-52 b","Transit","HATSouth",15.46391900,1755.00,0.0249800000,5900.20,0.06819
"HATS-53 b","Transit","HATSouth",14.86723000,1305.00,0.0475300000,5670.50,0.04532
"HATS-54 b","Transit","HATSouth",11.29827280,1451.67,0.0373150000,5658.33,0.16353
"HATS-55 b","Transit","HATSouth",13.06247950,1288.50,0.0541200000,6497.50,0.22891
"HATS-56 b","Transit","HATSouth",17.97324600,1749.50,0.0604300000,6496.50,0.89763
"HATS-57 b","Transit","HATSouth",12.78402550,1387.20,0.0349300000,5590.00,-0.09420
"HATS-58 A b","Transit","HATSouth",11.14095089,1424.54,0.0579800000,6477.50,0.68931
"HATS-59 b","Transit","HATSouth",12.99826700,1107.50,0.0611200000,5661.00,-0.00436
"HATS-6 b","Transit","HATSouth",11.34524131,690.89,0.0362300000,3724.00,
"HATS-60 b","Transit","HATSouth",11.71058850,1459.00,0.0470800000,5673.50,0.30016
"HATS-61 b","Transit","HATSouth",11.67326250,1175.55,0.0790800000,5545.50,0.36922
"HATS-62 b","Transit","HATSouth",11.81990224,1185.65,0.0416300000,5433.50,-0.17328
"HATS-63 b","Transit","HATSouth",13.02376617,1332.04,0.0402600000,5681.00,0.01199
"HATS-64 b","Transit","HATSouth",17.39094343,1736.53,0.0656200000,6580.00,0.86747
"HATS-65 b","Transit","HATSouth",16.29974886,1566.57,0.0449700000,6287.00,0.37658
"HATS-66 b","Transit","HATSouth",14.44338151,1880.10,0.0471400000,6580.00,0.76716
"HATS-67 b","Transit","HATSouth",17.82733250,1890.00,0.0303200000,6493.50,0.54654
"HATS-68 b","Transit","HATSouth",15.14212454,1699.70,0.0507100000,5925.90,0.59218
"HATS-69 b","Transit","HATSouth",10.34256196,1241.85,0.0321100000,5120.00,-0.31758
"HATS-7 b","Transit","HATSouth",5.86635098,1028.38,0.0401200000,4964.50,-0.43415
"HATS-70 b","Transit","HATSouth",14.99544930,2765.25,0.0363200000,8239.50,1.07918
"HATS-71 b","Transit","HATSouth",10.90208897,556.37,0.0374500000,3414.50,-1.55988
"HATS-72 b","Transit","HATSouth",8.79382580,718.15,0.0665170000,4588.55,-0.65896
"HATS-74 A b","Transit","HATSouth",11.79880868,836.61,0.0238400000,3585.45,-1.21610
"HATS-75 b","Transit","HATSouth",9.78693248,728.51,0.0327420000,3722.20,-1.19661
"HATS-76 b","Transit","HATSouth",11.92569728,898.56,0.0265800000,3926.50,-1.03810
"HATS-77 b","Transit","HATSouth",13.47979593,813.17,0.0360700000,4088.00,-0.99183
"HATS-8 b","Transit","HATSouth",9.81901275,1268.26,0.0466700000,5616.00,
"HATS-9 b","Transit","HATSouth",13.17644695,1777.91,0.0308400000,5486.33,0.23000
"HD 101581 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",0.96772915,787.47,0.0460000000,4654.44,
"HD 101581 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.00572997,705.54,0.0573000000,4654.44,
"HD 106315 b","Transit","K2",2.39024878,1082.11,0.0900233333,6344.00,0.35025
"HD 106315 c","Transit","K2",4.31102066,713.36,0.1524000000,6344.00,0.35025
"HD 108236 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.56956749,1085.53,0.0469000000,5726.94,
"HD 108236 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.06237401,921.07,0.0651000000,5726.94,
"HD 108236 e","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.06132140,628.18,0.1400000000,5726.94,
"HD 109833 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.16591000,786.00,,5876.00,
"HD 109833 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.61368482,756.70,,5876.00,
"HD 110067 b","Transit","Multiple Observatories",2.20000000,800.00,0.0793000000,5266.00,
"HD 110067 c","Transit","Multiple Observatories",2.38800000,699.00,0.1039000000,5266.00,
"HD 110067 d","Transit","Multiple Observatories",2.85200000,602.00,0.1362000000,5266.00,
"HD 110067 e","Transit","Multiple Observatories",1.94000000,533.00,0.1785000000,5266.00,
"HD 110067 f","Transit","Multiple Observatories",2.60100000,489.00,0.2163000000,5266.00,
"HD 110067 g","Transit","Multiple Observatories",2.60700000,440.00,0.2621000000,5266.00,
"HD 110082 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.05380568,957.20,,6153.00,
"HD 110113 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.10165500,1381.00,0.0350000000,5867.50,
"HD 110113 c","Radial Velocity","La Silla Observatory",2.11384817,951.65,,6003.00,
"HD 118203 b","Radial Velocity","Haute-Provence Observatory",12.65297234,1419.00,0.0746150000,5782.74,0.65456
"HD 135344 A b","Imaging","Paranal Observatory",16.25302201,1585.00,16.5000000000,9540.00,1.22000
"HD 135694 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.40801440,766.94,0.1200000000,5706.62,0.03941
"HD 136352 b","Radial Velocity","La Silla Observatory",1.56273762,874.11,0.0966500000,5751.00,0.02501
"HD 136352 c","Radial Velocity","La Silla Observatory",2.74300928,654.22,0.1725000000,5751.00,0.02501
"HD 136352 d","Radial Velocity","La Silla Observatory",2.09141631,761.32,0.4250000000,5701.50,0.01620
"HD 137496 b","Transit","K2",1.31000000,2130.00,0.0273200000,5799.00,
"HD 1397 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",11.48362050,1373.65,0.1050000000,5497.50,0.64770
"HD 149026 b","Radial Velocity","Subaru Telescope",7.50028200,1620.67,0.0430050000,6130.33,0.38561
"HD 152843 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.20755401,1003.11,,6329.00,
"HD 152843 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",4.18440826,253.08,,6329.00,
"HD 15337 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.68813901,972.18,0.0523250000,5143.73,-0.32606
"HD 15337 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.31622264,673.31,0.1251500000,5143.73,-0.32606
"HD 158259 b","Radial Velocity","Haute-Provence Observatory",1.28228000,1462.00,,5801.89,
"HD 15906 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.07075091,644.71,0.0900000000,4820.50,-0.56864
"HD 15906 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.93000000,532.00,0.1410000000,4757.00,-0.56864
"HD 17156 b","Radial Velocity","Subaru Telescope",12.44776996,784.00,0.1634500000,6016.67,0.44091
"HD 183579 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.53667070,739.59,0.1318666667,5765.39,-0.01093
"HD 18599 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.68788293,890.84,0.0500000000,5070.50,
"HD 189733 b","Radial Velocity","Haute-Provence Observatory",12.76328758,1183.78,0.0311175000,5037.20,-0.46888
"HD 191939 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.36421269,836.14,0.0797000000,5412.74,-0.17829
"HD 191939 c","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.16657623,571.30,0.1731000000,5412.74,-0.17829
"HD 191939 d","Transit","Transiting Exoplanet Survey Satellite (TESS)",3.11924958,516.97,0.2110500000,5412.74,-0.17829
"HD 202772 A b","Transit","Transiting Exoplanet Survey Satellite (TESS)",21.15205250,2658.00,0.0520800000,6230.00,0.97128
"HD 203030 b","Imaging","Palomar Observatory",14.45958510,1040.00,,,
"HD 20329 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.69868000,1858.50,0.0180000000,5618.00,0.04922
"HD 206893 b","Imaging","Gemini Observatory",14.01122587,1429.20,9.6000000000,,
"HD 206893 c","Imaging","European Southern Observatory",16.36511182,1181.90,3.5300000000,,
"HD 207496 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.40687000,798.00,0.0629000000,4843.00,
"HD 207897 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.40834377,618.32,0.1166500000,5082.33,-0.43253
"HD 209458 b","Radial Velocity","W. M. Keck Observatory",15.60465200,1435.80,0.0471800000,6071.50,0.22043
"HD 213885 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.73260000,1981.50,0.0201200000,5886.65,0.13862
